"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2209073","0.6074951","0.25","3.0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","6.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.2209073","0.6074951","0.25","3.0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","6.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.2209073","0.6074951","0.25","3.0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","6.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.2209073","0.6074951","0.25","3.0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","6.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"4","0.2209073","0.6074951","0.25","3.0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","6.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"5","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.07575758","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01366120","1.0","0","6.0","0.02688172","1.0","0","11.0","0","2.0","0","3.0","0"
"6","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1190476","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01984127","1.0","0","6.0","0.03861004","1.0","0","11.0","0","2.0","0","3.0","0"
"7","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1442308","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02259036","1.0","0","6.0","0.04360465","1.0","0","11.0","0","2.0","0","3.0","0"
"8","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1587302","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02364066","1.0","0","6.0","0.04535147","1.0","0","11.0","0","2.0","0","3.0","0"
"9","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1666667","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02380952","1.0","0","6.0","0.04545455","1.0","0","11.0","0","2.0","0","3.0","0"
"10","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1704545","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02351097","1.0","0","6.0","0.04470939","1.0","0","11.0","0","2.0","0","3.0","0"
"11","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1715686","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02296588","1.0","0","6.0","0.04353234","1.0","0","11.0","0","2.0","0","3.0","0"
"12","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1709402","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02229654","1.0","0","6.0","0.04214963","1.0","0","11.0","0","2.0","0","3.0","0"
"13","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1691729","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02157239","1.0","0","6.0","0.04068716","1.0","0","11.0","0","2.0","0","3.0","0"
"14","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1666667","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02083333","1.0","0","6.0","0.03921569","1.0","0","11.0","0","2.0","0","3.0","0"
"15","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1636905","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.02010234","1.0","0","6.0","0.03777473","1.0","0","11.0","0","2.0","0","3.0","0"
"16","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1604278","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01939237","1.0","0","6.0","0.03638569","1.0","0","11.0","0","2.0","0","3.0","0"
"17","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1570048","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01871042","1.0","0","6.0","0.03505933","1.0","0","11.0","0","2.0","0","3.0","0"
"18","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.1535088","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01805986","1.0","0","6.0","0.03380010","1.0","0","11.0","0","2.0","0","3.0","0"
"19","0.2282230","0.6010453","0.22527472527472528","2.9285714285714284","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","3.0","0.15","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","11.0","0.01744186","1.0","0","6.0","0.03260870","1.0","0","11.0","0","2.0","0","3.0","0"
