"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3492063","0.5873016","0.19444444444444445","1.5555555555555556","2.0","0","0.0","0","1.0","0","4.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","0.0","","0.0"
"1","0.3492063","0.5873016","0.19444444444444445","1.5555555555555556","2.0","0","0.0","0","1.0","0","4.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","0.0","","0.0"
"2","0.3492063","0.5873016","0.19444444444444445","1.5555555555555556","2.0","0","0.0","0","1.0","0","4.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","0.0","","0.0"
"3","0.3492063","0.5873016","0.19444444444444445","1.5555555555555556","2.0","0","0.0","0","1.0","0","4.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","0.0","","0.0"
"4","0.3492063","0.5873016","0.19444444444444445","1.5555555555555556","2.0","0","0.0","0","1.0","0","4.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","0.0","","0.0"
"5","0.3492063","0.5873016","0.19444444444444445","1.5555555555555556","2.0","0","0.0","0","1.0","0","4.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","0.0","","0.0"
"6","0.3492063","0.5873016","0.19444444444444445","1.5555555555555556","2.0","0","0.0","0","1.0","0","4.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","0.0","","0.0"
"7","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.05833333","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.02651515","4.0","0","4.0","0","1.0","0","2.0","0"
"8","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.09722222","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.04093567","4.0","0","4.0","0","1.0","0","2.0","0"
"9","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1235294","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.04883721","4.0","0","4.0","0","1.0","0","2.0","0"
"10","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1414141","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05303030","4.0","0","4.0","0","1.0","0","2.0","0"
"11","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1535088","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05503145","4.0","0","4.0","0","1.0","0","2.0","0"
"12","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1615385","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05570292","4.0","0","4.0","0","1.0","0","2.0","0"
"13","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1666667","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05555556","4.0","0","4.0","0","1.0","0","2.0","0"
"14","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1696970","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05490196","4.0","0","4.0","0","1.0","0","2.0","0"
"15","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1711957","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05393836","4.0","0","4.0","0","1.0","0","2.0","0"
"16","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1715686","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05279035","4.0","0","4.0","0","1.0","0","2.0","0"
"17","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1711111","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05153949","4.0","0","4.0","0","1.0","0","2.0","0"
"18","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1700405","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.05023923","4.0","0","4.0","0","1.0","0","2.0","0"
"19","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1685185","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.04892473","4.0","0","4.0","0","1.0","0","2.0","0"
"20","0.34","0.5933333","0.16666666666666666","1.5","2.0","0","0.0","0","1.0","0","2.0","0.1666667","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0","2.0","0","0.0","0","1.0","0","0.0","0","0.0","0","5.0","0.04761905","4.0","0","4.0","0","1.0","0","2.0","0"
