"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"1","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"2","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"3","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"4","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"5","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"6","0.2039474","0.5328947","0.3392857142857143","2.375","3.0","0","4.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0","1.0","0","6.0","0","0.0","","0.0"
"7","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.05833333","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.01785714","1.0","0","6.0","0","1.0","0","2.0","0"
"8","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.09722222","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.02777778","1.0","0","6.0","0","1.0","0","2.0","0"
"9","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1235294","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03333333","1.0","0","6.0","0","1.0","0","2.0","0"
"10","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1414141","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03636364","1.0","0","6.0","0","1.0","0","2.0","0"
"11","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1535088","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03787879","1.0","0","6.0","0","1.0","0","2.0","0"
"12","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1615385","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03846154","1.0","0","6.0","0","1.0","0","2.0","0"
"13","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03846154","1.0","0","6.0","0","1.0","0","2.0","0"
"14","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1696970","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03809524","1.0","0","6.0","0","1.0","0","2.0","0"
"15","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1711957","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.0375","1.0","0","6.0","0","1.0","0","2.0","0"
"16","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1715686","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03676471","1.0","0","6.0","0","1.0","0","2.0","0"
"17","0.2444444","0.5444444","0.2777777777777778","2.2222222222222223","3.0","0","2.0","0.1711111","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","7.0","0.03594771","1.0","0","6.0","0","1.0","0","2.0","0"
