"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2408638","0.5199336","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","3.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.2408638","0.5199336","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","3.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.2408638","0.5199336","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","3.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.2408638","0.5199336","0.23626373626373626","3.0714285714285716","3.0","0","1.0","0","3.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","6.0","0","4.0","0","5.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"4","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.08888889","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02580645","4.0","0","5.0","0","1.0","0","6.0","0.03076923","1.0","0","12.0","0.01428571","3.0","0","4.0","0"
"5","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03508772","4.0","0","5.0","0","1.0","0","6.0","0.04166667","1.0","0","12.0","0.01960784","3.0","0","4.0","0"
"6","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03809524","4.0","0","5.0","0","1.0","0","6.0","0.04511278","1.0","0","12.0","0.02142857","3.0","0","4.0","0"
"7","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03846154","4.0","0","5.0","0","1.0","0","6.0","0.04545455","1.0","0","12.0","0.02173913","3.0","0","4.0","0"
"8","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1709402","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03766478","4.0","0","5.0","0","1.0","0","6.0","0.04444444","1.0","0","12.0","0.02136752","3.0","0","4.0","0"
"9","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03636364","4.0","0","5.0","0","1.0","0","6.0","0.04285714","1.0","0","12.0","0.02068966","3.0","0","4.0","0"
