"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2272727","0.4610390","0.2545454545454545","2.5454545454545454","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2272727","0.4610390","0.2545454545454545","2.5454545454545454","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2272727","0.4610390","0.2545454545454545","2.5454545454545454","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2272727","0.4610390","0.2545454545454545","2.5454545454545454","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2272727","0.4610390","0.2545454545454545","2.5454545454545454","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","5.0","0","3.0","0","3.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"5","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.04901961","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.02688172","3.0","0","3.0","0","1.0","0","5.0","0.03333333","1.0","0","9.0","0.01700680","3.0","0","1.0","0"
"6","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.07518797","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03861004","3.0","0","3.0","0","1.0","0","5.0","0.04761905","1.0","0","9.0","0.02463054","3.0","0","1.0","0"
"7","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.08928571","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04360465","3.0","0","3.0","0","1.0","0","5.0","0.05357143","1.0","0","9.0","0.02798507","3.0","0","1.0","0"
"8","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.09661836","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04535147","3.0","0","3.0","0","1.0","0","5.0","0.05555556","1.0","0","9.0","0.02923977","3.0","0","1.0","0"
"9","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.1","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04545455","3.0","0","3.0","0","1.0","0","5.0","0.05555556","1.0","0","9.0","0.02941176","3.0","0","1.0","0"
"10","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.1010101","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04470939","3.0","0","3.0","0","1.0","0","5.0","0.05454545","1.0","0","9.0","0.02901354","3.0","0","1.0","0"
"11","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.1005747","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04353234","3.0","0","3.0","0","1.0","0","5.0","0.05303030","1.0","0","9.0","0.02831715","3.0","0","1.0","0"
"12","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.09925558","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04214963","3.0","0","3.0","0","1.0","0","5.0","0.05128205","1.0","0","9.0","0.02747253","3.0","0","1.0","0"
"13","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.09740260","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04068716","3.0","0","3.0","0","1.0","0","5.0","0.04945055","1.0","0","9.0","0.02656434","3.0","0","1.0","0"
"14","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.09523810","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03921569","3.0","0","3.0","0","1.0","0","5.0","0.04761905","1.0","0","9.0","0.02564103","3.0","0","1.0","0"
"15","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.09290541","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03777473","3.0","0","3.0","0","1.0","0","5.0","0.04583333","1.0","0","9.0","0.02473022","3.0","0","1.0","0"
"16","0.2123656","0.4973118","0.23484848484848486","2.5833333333333335","3.0","0","2.0","0.09049774","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03638569","3.0","0","3.0","0","1.0","0","5.0","0.04411765","1.0","0","9.0","0.02384738","3.0","0","1.0","0"
