"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","1.0","1.0","1.0","0.04","0.04","1.0","2.0","2.0","0.04","0.08","1.0","15.0","15.0","0.04","0.6","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","6.0","2.0","12.0","0.24","0.08","2.0","1.0","2.0","0.08","0.04","4.0","3.0","12.0","0.16","0.12","2.0","3.0","6.0","0.08","0.12","1.0","3.0","3.0","0.04","0.12","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","3.0","3.0","0.04","0.12","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","0.0","12.0","0.0","0.0","0.48","18.0","11.0","198.0","0.72","0.44","0.0","0.0","0.0","0.0","0.0"
"2","1.0","1.0","1.0","0.04","0.04","1.0","2.0","2.0","0.04","0.08","1.0","15.0","15.0","0.04","0.6","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","6.0","2.0","12.0","0.24","0.08","2.0","1.0","2.0","0.08","0.04","4.0","3.0","12.0","0.16","0.12","2.0","3.0","6.0","0.08","0.12","1.0","3.0","3.0","0.04","0.12","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","3.0","3.0","0.04","0.12","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","0.0","12.0","0.0","0.0","0.48","18.0","11.0","198.0","0.72","0.44","0.0","0.0","0.0","0.0","0.0"
"3","1.0","1.0","1.0","0.04","0.04","1.0","2.0","2.0","0.04","0.08","1.0","15.0","15.0","0.04","0.6","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","6.0","2.0","12.0","0.24","0.08","2.0","1.0","2.0","0.08","0.04","4.0","3.0","12.0","0.16","0.12","2.0","3.0","6.0","0.08","0.12","1.0","3.0","3.0","0.04","0.12","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","3.0","3.0","0.04","0.12","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","0.0","12.0","0.0","0.0","0.48","18.0","11.0","198.0","0.72","0.44","0.0","0.0","0.0","0.0","0.0"
"4","1.0","1.0","1.0","0.04","0.04","1.0","2.0","2.0","0.04","0.08","1.0","15.0","15.0","0.04","0.6","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","6.0","2.0","12.0","0.24","0.08","2.0","1.0","2.0","0.08","0.04","4.0","3.0","12.0","0.16","0.12","2.0","3.0","6.0","0.08","0.12","1.0","3.0","3.0","0.04","0.12","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","3.0","3.0","0.04","0.12","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","0.0","12.0","0.0","0.0","0.48","18.0","11.0","198.0","0.72","0.44","0.0","0.0","0.0","0.0","0.0"
"5","1.0","1.0","1.0","0.04","0.04","1.0","2.0","2.0","0.04","0.08","1.0","15.0","15.0","0.04","0.6","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","6.0","2.0","12.0","0.24","0.08","2.0","1.0","2.0","0.08","0.04","4.0","3.0","12.0","0.16","0.12","2.0","3.0","6.0","0.08","0.12","1.0","3.0","3.0","0.04","0.12","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","3.0","3.0","0.04","0.12","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","0.0","12.0","0.0","0.0","0.48","18.0","11.0","198.0","0.72","0.44","0.0","0.0","0.0","0.0","0.0"
"6","1.0","1.0","1.0","0.04","0.04","1.0","2.0","2.0","0.04","0.08","1.0","15.0","15.0","0.04","0.6","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","6.0","2.0","12.0","0.24","0.08","2.0","1.0","2.0","0.08","0.04","4.0","3.0","12.0","0.16","0.12","2.0","3.0","6.0","0.08","0.12","1.0","3.0","3.0","0.04","0.12","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","3.0","3.0","0.04","0.12","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","0.0","12.0","0.0","0.0","0.48","18.0","11.0","198.0","0.72","0.44","0.0","0.0","0.0","0.0","0.0"
"7","1.0","1.0","1.0","0.04","0.04","1.0","2.0","2.0","0.04","0.08","1.0","15.0","15.0","0.04","0.6","3.0","2.0","6.0","0.12","0.08","3.0","1.0","3.0","0.12","0.04","6.0","2.0","12.0","0.24","0.08","2.0","1.0","2.0","0.08","0.04","4.0","3.0","12.0","0.16","0.12","2.0","3.0","6.0","0.08","0.12","1.0","3.0","3.0","0.04","0.12","1.0","2.0","2.0","0.04","0.08","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","2.0","1.0","2.0","0.08","0.04","1.0","1.0","1.0","0.04","0.04","2.0","1.0","2.0","0.08","0.04","1.0","3.0","3.0","0.04","0.12","2.0","1.0","2.0","0.08","0.04","4.0","0.0","0.0","0.16","0.0","2.0","1.0","2.0","0.08","0.04","5.0","1.0","5.0","0.2","0.04","2.0","0.0","0.0","0.08","0.0","0.0","12.0","0.0","0.0","0.48","18.0","11.0","198.0","0.72","0.44","0.0","0.0","0.0","0.0","0.0"
"8","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","8.0","8.0","0.038461538461538464","0.3076923076923077","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","13.0","0.0","0.0","0.5","18.0","11.0","198.0","0.6923076923076923","0.4230769230769231","1.0","7.0","7.0","0.038461538461538464","0.2692307692307692"
"9","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","8.0","8.0","0.038461538461538464","0.3076923076923077","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","13.0","0.0","0.0","0.5","18.0","11.0","198.0","0.6923076923076923","0.4230769230769231","1.0","7.0","7.0","0.038461538461538464","0.2692307692307692"
"10","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","1.0","8.0","8.0","0.038461538461538464","0.3076923076923077","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","1.0","2.0","2.0","0.038461538461538464","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","4.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","2.0","0.0","0.0","0.07692307692307693","0.0","0.0","13.0","0.0","0.0","0.5","18.0","11.0","198.0","0.6923076923076923","0.4230769230769231","1.0","7.0","7.0","0.038461538461538464","0.2692307692307692"
