"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS"
"11","3.0","8.0","24.0","0.1111111111111111","0.2962962962962963","4.0","4.0","16.0","0.14814814814814814","0.14814814814814814","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","2.0","8.0","0.14814814814814814","0.07407407407407407","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","6.0","1.0","6.0","0.2222222222222222","0.037037037037037035","12.0","0.0","0.0","0.4444444444444444","0.0","1.0","24.0","24.0","0.037037037037037035","0.8888888888888888","1.0","11.0","11.0","0.037037037037037035","0.4074074074074074","1.0","25.0","25.0","0.037037037037037035","0.9259259259259259","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","8.0","24.0","0.1111111111111111","0.2962962962962963","4.0","4.0","16.0","0.14814814814814814","0.14814814814814814","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","2.0","8.0","0.14814814814814814","0.07407407407407407","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","6.0","1.0","6.0","0.2222222222222222","0.037037037037037035","12.0","0.0","0.0","0.4444444444444444","0.0","1.0","24.0","24.0","0.037037037037037035","0.8888888888888888","1.0","11.0","11.0","0.037037037037037035","0.4074074074074074","1.0","25.0","25.0","0.037037037037037035","0.9259259259259259","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","9.0","27.0","0.10714285714285714","0.32142857142857145","4.0","4.0","16.0","0.14285714285714285","0.14285714285714285","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","4.0","3.0","12.0","0.14285714285714285","0.10714285714285714","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","2.0","8.0","0.14285714285714285","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","6.0","1.0","6.0","0.21428571428571427","0.03571428571428571","13.0","0.0","0.0","0.4642857142857143","0.0","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","1.0","12.0","12.0","0.03571428571428571","0.42857142857142855","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","10.0","30.0","0.10344827586206896","0.3448275862068966","4.0","4.0","16.0","0.13793103448275862","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","14.0","0.0","0.0","0.4827586206896552","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","13.0","13.0","0.034482758620689655","0.4482758620689655","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","10.0","30.0","0.10344827586206896","0.3448275862068966","4.0","4.0","16.0","0.13793103448275862","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","14.0","0.0","0.0","0.4827586206896552","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","13.0","13.0","0.034482758620689655","0.4482758620689655","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","10.0","30.0","0.10344827586206896","0.3448275862068966","4.0","4.0","16.0","0.13793103448275862","0.13793103448275862","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","3.0","12.0","0.13793103448275862","0.10344827586206896","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","6.0","1.0","6.0","0.20689655172413793","0.034482758620689655","14.0","0.0","0.0","0.4827586206896552","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","13.0","13.0","0.034482758620689655","0.4482758620689655","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","11.0","33.0","0.1","0.36666666666666664","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","3.0","12.0","0.13333333333333333","0.1","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","6.0","1.0","6.0","0.2","0.03333333333333333","15.0","0.0","0.0","0.5","0.0","1.0","27.0","27.0","0.03333333333333333","0.9","1.0","14.0","14.0","0.03333333333333333","0.4666666666666667","1.0","26.0","26.0","0.03333333333333333","0.8666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","11.0","33.0","0.1","0.36666666666666664","4.0","4.0","16.0","0.13333333333333333","0.13333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","3.0","12.0","0.13333333333333333","0.1","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","6.0","1.0","6.0","0.2","0.03333333333333333","15.0","0.0","0.0","0.5","0.0","1.0","27.0","27.0","0.03333333333333333","0.9","1.0","14.0","14.0","0.03333333333333333","0.4666666666666667","1.0","26.0","26.0","0.03333333333333333","0.8666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","12.0","36.0","0.0967741935483871","0.3870967741935484","4.0","4.0","16.0","0.12903225806451613","0.12903225806451613","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","3.0","12.0","0.12903225806451613","0.0967741935483871","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","6.0","1.0","6.0","0.1935483870967742","0.03225806451612903","16.0","0.0","0.0","0.5161290322580645","0.0","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","1.0","14.0","14.0","0.03225806451612903","0.45161290322580644","1.0","27.0","27.0","0.03225806451612903","0.8709677419354839","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","13.0","39.0","0.09375","0.40625","4.0","4.0","16.0","0.125","0.125","4.0","1.0","4.0","0.125","0.03125","4.0","3.0","12.0","0.125","0.09375","3.0","1.0","3.0","0.09375","0.03125","4.0","2.0","8.0","0.125","0.0625","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","4.0","1.0","4.0","0.125","0.03125","4.0","1.0","4.0","0.125","0.03125","3.0","1.0","3.0","0.09375","0.03125","4.0","1.0","4.0","0.125","0.03125","3.0","1.0","3.0","0.09375","0.03125","6.0","1.0","6.0","0.1875","0.03125","17.0","0.0","0.0","0.53125","0.0","1.0","29.0","29.0","0.03125","0.90625","1.0","14.0","14.0","0.03125","0.4375","1.0","28.0","28.0","0.03125","0.875","3.0","1.0","3.0","0.09375","0.03125","4.0","1.0","4.0","0.125","0.03125","4.0","1.0","4.0","0.125","0.03125","3.0","1.0","3.0","0.09375","0.03125","4.0","1.0","4.0","0.125","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","1.0","3.0","0.09375","0.03125","0.0","0.0","0.0","0.0","0.0"
"21","3.0","14.0","42.0","0.09090909090909091","0.42424242424242425","4.0","4.0","16.0","0.12121212121212122","0.12121212121212122","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","4.0","3.0","12.0","0.12121212121212122","0.09090909090909091","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","6.0","1.0","6.0","0.18181818181818182","0.030303030303030304","18.0","0.0","0.0","0.5454545454545454","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","15.0","15.0","0.030303030303030304","0.45454545454545453","1.0","28.0","28.0","0.030303030303030304","0.8484848484848485","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304"
