"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3377926","0.5863991","0.1541501976284585","3.391304347826087","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","10.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","12.0","0","13.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"1","0.3377926","0.5863991","0.1541501976284585","3.391304347826087","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","10.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","12.0","0","13.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"2","0.3377926","0.5863991","0.1541501976284585","3.391304347826087","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","10.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","12.0","0","13.0","0","9.0","0","1.0","0","20.0","0","0.0","","0.0"
"3","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01530612","13.0","0","9.0","0","1.0","0","21.0","0.009259259","2.0","0","5.0","0"
"4","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01935484","13.0","0","9.0","0","1.0","0","21.0","0.01176471","2.0","0","5.0","0"
"5","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.02","13.0","0","9.0","0","1.0","0","21.0","0.01219512","2.0","0","5.0","0"
"6","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01948052","13.0","0","9.0","0","1.0","0","21.0","0.01190476","2.0","0","5.0","0"
"7","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01856436","13.0","0","9.0","0","1.0","0","21.0","0.01136364","2.0","0","5.0","0"
"8","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01754386","13.0","0","9.0","0","1.0","0","21.0","0.01075269","2.0","0","5.0","0"
"9","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01653543","13.0","0","9.0","0","1.0","0","21.0","0.01014493","2.0","0","5.0","0"
"10","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01558442","13.0","0","9.0","0","1.0","0","21.0","0.009569378","2.0","0","5.0","0"
"11","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01470588","13.0","0","9.0","0","1.0","0","21.0","0.009036145","2.0","0","5.0","0"
"12","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01390176","13.0","0","9.0","0","1.0","0","21.0","0.008547009","2.0","0","5.0","0"
"13","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1386555","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01316840","13.0","0","9.0","0","1.0","0","21.0","0.008100147","2.0","0","5.0","0"
"14","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.0125","13.0","0","9.0","0","1.0","0","21.0","0.007692308","2.0","0","5.0","0"
"15","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1282895","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01189024","13.0","0","9.0","0","1.0","0","21.0","0.007319820","2.0","0","5.0","0"
"16","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1235294","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01133297","13.0","0","9.0","0","1.0","0","21.0","0.006979063","2.0","0","5.0","0"
"17","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01082251","13.0","0","9.0","0","1.0","0","21.0","0.006666667","2.0","0","5.0","0"
"18","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1148325","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.01035375","13.0","0","9.0","0","1.0","0","21.0","0.006379585","2.0","0","5.0","0"
"19","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1108696","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.009922179","13.0","0","9.0","0","1.0","0","21.0","0.006115108","2.0","0","5.0","0"
"20","0.3354167","0.5770833","0.14492753623188406","3.3333333333333335","2.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","7.0","0","2.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","5.0","0","2.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","5.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","4.0","0","0.0","0","3.0","0","0.0","0","0.0","0","13.0","0.009523810","13.0","0","9.0","0","1.0","0","21.0","0.005870841","2.0","0","5.0","0"
